Site_Id,LakeCode,ekoltasoid,palavpdvhs3_ha
36807,653111001,3.0,"23025,96"
36808,653111001,3.0,"23025,96"
36809,653111001,3.0,"23025,96"
36810,653111001,3.0,"23025,96"
36811,653111001,3.0,"23025,96"
36812,653111001,3.0,"23025,96"
36813,653111001,3.0,"23025,96"
36814,653111001,3.0,"23025,96"
36815,653111001,3.0,"23025,96"
36816,653111001,3.0,"23025,96"
36817,653111001,3.0,"23025,96"
36818,653111001,3.0,"23025,96"
36819,653111001,3.0,"23025,96"
36820,653111001,3.0,"23025,96"
36821,653111001,3.0,"23025,96"
36822,653111001,3.0,"23025,96"
36823,653111001,3.0,"23025,96"
36824,653111001,3.0,"23025,96"
36825,653111001,3.0,"23025,96"
36826,653111001,3.0,"23025,96"
36827,653111001,3.0,"23025,96"
36828,653111001,3.0,"23025,96"
36829,653111001,3.0,"23025,96"
36830,653111001,3.0,"23025,96"
36831,653111001,3.0,"23025,96"
36832,653111001,3.0,"23025,96"
36833,653111001,3.0,"23025,96"
36834,653111041,,
36836,653111001,3.0,"23025,96"
36837,653111001,3.0,"23025,96"
36838,653111001,3.0,"23025,96"
36839,653111001,3.0,"23025,96"
36840,653131003,4.0,"81,7"
36841,653111001,3.0,"23025,96"
36842,653111001,3.0,"23025,96"
36843,653111001,3.0,"23025,96"
36844,653111001,3.0,"23025,96"
36845,653111001,3.0,"23025,96"
36846,653111001,3.0,"23025,96"
36847,653111001,3.0,"23025,96"
36848,653111001,3.0,"23025,96"
36849,653111001,3.0,"23025,96"
36851,653111001,3.0,"23025,96"
36852,653111001,3.0,"23025,96"
36853,653111025,,
36854,653111001,3.0,"23025,96"
36856,653111001,3.0,"23025,96"
36857,653141001,4.0,"240,9"
36859,653111118,2.0,"265,69"
36860,653111118,2.0,"265,69"
36861,653111001,3.0,"23025,96"
36862,653111118,2.0,"265,69"
36863,653111001,3.0,"23025,96"
36864,653111001,3.0,"23025,96"
36865,653111001,3.0,"23025,96"
36866,653141033,,
36867,653111001,3.0,"23025,96"
36868,653141026,,
36871,653111118,2.0,"265,69"
36872,653111001,3.0,"23025,96"
36874,653111001,3.0,"23025,96"
36876,653111001,3.0,"23025,96"
36877,653111001,3.0,"23025,96"
36878,653111001,3.0,"23025,96"
36879,653111001,3.0,"23025,96"
36881,653111001,3.0,"23025,96"
36882,653111001,3.0,"23025,96"
36883,653111001,3.0,"23025,96"
36884,653111001,3.0,"23025,96"
36887,653141026,,
36888,653141032,4.0,"51,94"
36889,653111119,,
36890,653111119,,
36891,653111118,2.0,"265,69"
36892,653111001,3.0,"23025,96"
36895,653111001,3.0,"23025,96"
36897,653141026,,
36899,653111118,2.0,"265,69"
36900,653211001,,
36901,653141001,4.0,"240,9"
36902,nan,,
36903,nan,,
36904,653211001,,
36905,653111022,,
36907,653211001,,
36908,653211001,,
36909,653141030,4.0,"54,53"
36910,653111023,,
36911,653141030,4.0,"54,53"
36912,653131025,,
36913,nan,,
36914,653141011,4.0,"355,19"
36915,653141011,4.0,"355,19"
36916,653131043,,
36917,653141011,4.0,"355,19"
36918,653141011,4.0,"355,19"
36919,653141011,4.0,"355,19"
36920,653141011,4.0,"355,19"
36921,653141021,4.0,"190,59"
36922,nan,,
36923,653141010,,
36924,653211001,,
36925,653211001,,
36926,653211001,,
36927,653211001,,
36928,653221001,1.0,"128,01"
36930,653221001,1.0,"128,01"
36931,653221001,1.0,"128,01"
36932,653221001,1.0,"128,01"
36933,653221001,1.0,"128,01"
36934,653221001,1.0,"128,01"
36935,653221001,1.0,"128,01"
36936,653211001,,
36937,653211001,,
36938,653211014,2.0,"89,98"
36941,653211014,2.0,"89,98"
36942,653221009,1.0,"79,03"
36943,653211014,2.0,"89,98"
36944,653211001,,
36945,653221009,1.0,"79,03"
36946,653241015,,
36947,653221009,1.0,"79,03"
36948,653211001,,
36956,653241003,1.0,"185,21"
36959,653231003,4.0,"156,32"
36969,653331018,,
36970,653331018,,
36971,653331018,,
36972,653331017,,
36973,653331018,,
36974,653331017,,
36975,653331017,,
36976,nan,,
36977,653331016,,
36978,653331016,,
36979,653331013,,
36980,653331013,,
36983,654111007,,
36984,654111007,,
36989,653431006,,
36990,653431005,,
36991,653411028,4.0,"128,21"
36992,653431012,,
36993,653411031,4.0,"63,54"
36995,nan,,
36996,653421001,4.0,"90,46"
36997,653421001,4.0,"90,46"
36998,653421001,4.0,"90,46"
36999,653421001,4.0,"90,46"
37000,653421001,4.0,"90,46"
37002,nan,,
37007,653421007,4.0,"186,9"
37009,653421033,,
37010,653421034,4.0,"147,55"
37016,653531001,4.0,"514,51"
37019,653531001,4.0,"514,51"
37020,653531001,4.0,"514,51"
37021,653531001,4.0,"514,51"
37022,653531001,4.0,"514,51"
37024,653531001,4.0,"514,51"
37027,653511007,4.0,"64,28"
37028,653521003,4.0,"202,23"
37029,653531002,4.0,"98,99"
37031,653561002,,
37032,653561002,,
37034,653631001,4.0,"59,57"
37036,653641001,1.0,"265,62"
37040,653641001,1.0,"265,62"
37041,653641001,1.0,"265,62"
37042,653641001,1.0,"265,62"
37043,653641001,1.0,"265,62"
37046,nan,,
37049,653791001,4.0,"94,99"
37057,653111056,4.0,"59,44"
37062,653711004,,
37064,653711002,4.0,"345,78"
37065,653711002,4.0,"345,78"
37066,653711008,,
37067,653711002,4.0,"345,78"
37069,653711002,4.0,"345,78"
37070,653711002,4.0,"345,78"
37071,653711002,4.0,"345,78"
37073,653711009,,
37078,653711030,,
37079,653711013,4.0,"61,55"
37081,653781011,,
37083,653711017,4.0,"58,49"
37086,653781001,,
37087,653781001,,
37090,653781001,,
37091,653781002,1.0,"89,54"
37092,653781002,1.0,"89,54"
37094,653711020,4.0,"91,6"
37095,653711020,4.0,"91,6"
37098,653711021,4.0,"76,09"
37101,653771011,,
37102,653771011,,
37103,653771011,,
37104,653771011,,
37105,653771011,,
37106,653771011,,
37107,653771011,,
37110,653771001,,
37114,653761017,,
37115,653761017,,
